Name,Stock Level,Min Level,Unit,Unit Price,Currency,SKU,Supplier,Category,Last Ordered,Notes,Capacity,EAN / UPC,Retail Price,Wholesale Price,Link
"SoapyFluffs Artisan Bath Bombs – Fun, Fizz & Fragrance | SoapyFluffs - Orange Soda Pop",8,,pieces,,USD,61673115806581,,,1970-01-01,,0,,6,,https://app.inventora.com/products/mD5nYPJYZeUNYJaaM6FD7D/details
"SoapyFluffs Artisan Bath Bombs – Fun, Fizz & Fragrance | SoapyFluffs - Stormy Rain",7,,pieces,,USD,61673115942133,,,1970-01-01,,0,,6,,https://app.inventora.com/products/5darGChmgtUPK1jAbgGb9W/details
SoapyFluffs Deluxe Gift Box 6-Soap Box (Subscribe & Save),100,,pieces,,USD,SOAPY-6BoxDeluxe,,,1970-01-01,,0,,65,,https://app.inventora.com/products/j6Xy1zUxCpZ5jX7VaX1UWK/details
Soda Pop Whipped Sugar Scrub – Exfoliating & Refreshing | SoapyFluffs,9,,pieces,,USD,61673112159349,,,1970-01-01,,0,,6,,https://app.inventora.com/products/w3eYoLNTSz41oFk1PCwt7E/details
Stormy Rain – Refreshing Soy Candle | Soapy Fluffs,2,,pieces,,USD,61673113044789,,,1970-01-01,,0,,8,,https://app.inventora.com/products/1W1sUdDJTtrERbEToJ1PSk/details
Storyteller Scented Soy Candle - A Timeless Blend of Luxury and Nostalgia,2,,pieces,,USD,61673116294229,,,1970-01-01,,0,,8,,https://app.inventora.com/products/cqxSorBc8HHTpWuSotWGYV/details
Strawberry's & Cream - Soy Candle,0,,pieces,,USD,61673112752277,,,1970-01-01,,0,,8,,https://app.inventora.com/products/5rTXo4yFy23Rm1YLmfCF1o/details
Ultra-Hydrating Triple Butter Body Cream Set,0,,pieces,,USD,61673118306517,,,1970-01-01,,0,,19.99,,https://app.inventora.com/products/vfVUFeHtZHQkzALCUoA6Kr/details
Unscented Natural Soap Bar - Hypoallergenic & Fragrance-Free - Eucalyptus Lemon,22,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/fcyjhpq4RDtmXBFccgrHuc/details
Unscented Natural Soap Bar - Hypoallergenic & Fragrance-Free - Seasalt Citrus,11,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/iQpU963HdFGxxzB1NqwM8s/details
Unscented Natural Soap Bar - Hypoallergenic & Fragrance-Free - Teatree,14,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/9u8kZeGXg57sXHw27NiLUh/details
Vegan Soy Blend Candle - Clean Burning & Hand-Poured (Choose Your Scent) - Chocolate Love,2,,pieces,,USD,SOYCANDLE-1,,,1970-01-01,,0,,8,,https://app.inventora.com/products/sqPbWy4yksfa8QU9kf3e1z/details
Vegan Soy Blend Candle - Clean Burning & Hand-Poured (Choose Your Scent) - Stormy Rain,0,,pieces,,USD,SOYCANDLE-2,,,1970-01-01,,0,,8,,https://app.inventora.com/products/k8rJMxFaScLaBBGsDmk4B4/details
Vegan Soy Blend Candle - Clean Burning & Hand-Poured (Choose Your Scent) - Rugged Timber,2,,pieces,,USD,SOYCANDLE-4,,,1970-01-01,,0,,8,,https://app.inventora.com/products/4Y3dmW8vAYacDRJNKr5xxw/details
Vegan Soy Blend Candle - Clean Burning & Hand-Poured (Choose Your Scent) - Pirate's Rum,2,,pieces,,USD,SOYCANDLE-5,,,1970-01-01,,0,,8,,https://app.inventora.com/products/13CeDRrpX9DzygwsBoEMZa/details
Vegan Soy Blend Candle - Clean Burning & Hand-Poured (Choose Your Scent) - Apple Orchard,0,,pieces,,USD,SOYCANDLE-6,,,1970-01-01,,0,,8,,https://app.inventora.com/products/jEhKqtPDHE1TLZdYxYtrxH/details
Vegan Soy Blend Candle - Clean Burning & Hand-Poured (Choose Your Scent) - Country Line,4,,pieces,,USD,SOYCANDLE-7,,,1970-01-01,,0,,8,,https://app.inventora.com/products/o6nSsizMu5sqGH5iVuZ14w/details
Warm Earl Grey,2,,pieces,,USD,61673119620885,,,1970-01-01,,0,,6.95,,https://app.inventora.com/products/tcCVSB63QkJ7tP1HszzRZK/details
Watermelon -  Whipped Sugar Scrub – Fruity & Luxurious | Soapy Fluffs,8,,pieces,,USD,61673113917109,,,1970-01-01,,0,,5,,https://app.inventora.com/products/2eJR5uyy1K5cD54mveJpZo/details
Watermelon Sorbet,0,,pieces,,USD,61673119895957,,,1970-01-01,,0,,8,,https://app.inventora.com/products/tc1nZKco5rHsGU8WK53Rnf/details
Winter Fire Candle – Warm & Inviting | SoapyFluffs,0,,pieces,,USD,61673116132693,,,1970-01-01,,0,,8,,https://app.inventora.com/products/t4d6D7NDZNazV2FhNqpdod/details
"Handmade Scented Soap Bar - Choose Your Fragrance (Lavender, Vanilla, etc.) - Tranquil Patchouli",11,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/oVWQoPNwWioEXb2nE731jU/details
"Handmade Scented Soap Bar - Choose Your Fragrance (Lavender, Vanilla, etc.) - French Bourbon",9,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/nD3Tg28YXz5V4oj78vuCqt/details
