Name,Stock Level,Min Level,Unit,Unit Price,Currency,SKU,Supplier,Category,Last Ordered,Notes,Capacity,EAN / UPC,Retail Price,Wholesale Price,Link
"Frankincense &amp; Myrrh Soy Candle – Warm, Earthy &amp; Aromatic Scent | SoapyFluffs",4,,pieces,,USD,61673111962965,,,1970-01-01,,0,,8,,https://app.inventora.com/products/6wqPvtEYakFCsZc92uMjn2/details
French Bourbon Reserve Artisan Soap – Luxurious &amp; Sophisticated | Soapy Fluffs,20,,pieces,,USD,61673114483413,,,1970-01-01,,0,,6,,https://app.inventora.com/products/fdNK6nW5fH4ALase6Enkko/details
Crystal Orgone Pendulums by Tiny Rituals - Citrine,0,,pieces,,USD,carro-66857653,,,1970-01-01,,0,,14.95,,https://app.inventora.com/products/t5mnRfgcA5t66oMgEEQNpG/details
Crystal Orgone Pendulums by Tiny Rituals - Green Aventurine,0,,pieces,,USD,carro-66857654,,,1970-01-01,,0,,14.95,,https://app.inventora.com/products/nKnAp1H2UhVivJ9dEgM1uB/details
Crystal Orgone Pendulums by Tiny Rituals - Carnelian,0,,pieces,,USD,carro-66857655,,,1970-01-01,,0,,14.95,,https://app.inventora.com/products/b9E7W1UagVjKifV3PFwhLh/details
Crystal Orgone Pendulums by Tiny Rituals - Amethyst,0,,pieces,,USD,carro-66857656,,,1970-01-01,,0,,14.95,,https://app.inventora.com/products/5hYvG8VdpNBsWjHEE53Pt6/details
Cucumber Mellon Lime,0,,pieces,,USD,61673118157717,,,1970-01-01,,0,,6,,https://app.inventora.com/products/jqEMRvp5e8oAjzBLy4wrii/details
Easter Rum Bunny,5,,pieces,,USD,61673110025269,,,1970-01-01,,0,,6,,https://app.inventora.com/products/2V4qeAGYQ8MEW1q7XJWjgX/details
Gingerbread - Soy Candle,-3,,pieces,,USD,61673114581237,,,1970-01-01,,0,,8,,https://app.inventora.com/products/rupuwHQhc8N93np5Xy9CmU/details
Gingerbread - Soy Wax Melt,-1,,pieces,,USD,61673114666581,,,1970-01-01,,0,,5,,https://app.inventora.com/products/62rtTp5bmKNpvqkGSottai/details
Fruitastic - Whipped Sugar Scrub – Exfoliating & Hydrating | SoapyFluffs,6,,pieces,,USD,61673112211925,,,1970-01-01,,0,,4,,https://app.inventora.com/products/fWXT7khivKGv4f852Mqfzp/details
Georgio Spice,0,,pieces,,USD,61673119045365,,,1970-01-01,,0,,6,,https://app.inventora.com/products/4p5i22FSRPdLuC7bu9cmFS/details
Georgio Spice- Ultra-Hydrating Triple Butter Body Cream,0,,pieces,,USD,61673118426325,,,1970-01-01,,0,,8,,https://app.inventora.com/products/rnwiBboHbHoRUc8LFAgXQ9/details
Georgio Spice- Ultra-Hydrating Triple Butter Body Cream - 2oz Tin,0,,pieces,,USD,61673116420725,,,1970-01-01,,0,,5,,https://app.inventora.com/products/7qib8gvp46AZ1zwYNnCbxS/details
Georgio – Luxe Hydrating Body Butter | Soapy Fluffs,7,,pieces,,USD,61673112607125,,,1970-01-01,,0,,8,,https://app.inventora.com/products/vSL6odK82atVeUBnhATSiv/details
"Handmade Scented Soap Bar - Choose Your Fragrance (Lavender, Vanilla, etc.) - Jaw Breaker",0,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/5z5cYD7n1MPCmdWXProKa9/details
"Handmade Scented Soap Bar - Choose Your Fragrance (Lavender, Vanilla, etc.) - Stormy Rain",20,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/1JGPRqCDRTbvTGPRkYnufj/details
"Handmade Scented Soap Bar - Choose Your Fragrance (Lavender, Vanilla, etc.) - Lavender",5,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/w4Hc9kKhLATfS9nKWaNbmx/details
Holiday Memory - Soy Candle,0,,pieces,,USD,61673115107797,,,1970-01-01,,0,,8,,https://app.inventora.com/products/hP1xRkXT2NBD1ePnonUbhA/details
"Handmade Scented Soap Bar - Choose Your Fragrance (Lavender, Vanilla, etc.) - Black Raspberrry Vanilla",17,,pieces,,USD,,,,1970-01-01,,0,,6,,https://app.inventora.com/products/7Z5XSmfBGycR1VeqxSjvia/details
Hot Cocoa,0,,pieces,,USD,61673111134837,,,1970-01-01,,0,,6,,https://app.inventora.com/products/ouxwHBtA6sTPVidUTLBmqH/details
Japanese Cherry Blossom,31,,pieces,,USD,61673110579317,,,1970-01-01,,0,,6,,https://app.inventora.com/products/4DPZykb3TQfRi4JMK2XwuE/details
"Jaw Breaker Artisan Soap – Sweet, Fruity &amp; Refreshing | SoapyFluffs",0,,pieces,,USD,61673112346869,,,1970-01-01,,0,,6,,https://app.inventora.com/products/8knQtW7iojNHdTtcKkkhBX/details
Lavender Lotion – Luxurious & Nourishing Skincare for Dry Skin,6,,pieces,,USD,61673115422069,,,1970-01-01,,0,,5,,https://app.inventora.com/products/dPo8DhhjJUm8oexN2KLfvE/details
Lavender Lux,15,,pieces,,USD,61673110673205,,,1970-01-01,,0,,6,,https://app.inventora.com/products/w5E4nXMtz9FJUa6XQwQado/details
Lotion Bars - Black Raspberry,-2,,pieces,,USD,61673114251957,,,1970-01-01,,0,,5,,https://app.inventora.com/products/9ReuFekEo7FoJfDmjpKy2M/details
Mini Gemstone Orgone Pyramid by Tiny Rituals - Amethyst,0,,pieces,,USD,carro-66857640,,,1970-01-01,,0,,14.95,,https://app.inventora.com/products/sSkDcUKsLK16VGgDbmXuB8/details
Mini Gemstone Orgone Pyramid by Tiny Rituals - Chakra,0,,pieces,,USD,carro-66857645,,,1970-01-01,,0,,14.95,,https://app.inventora.com/products/89fq5W65Ki3VzPPHekY6BZ/details
Minty Grinchy,0,,pieces,,USD,61673114776469,,,1970-01-01,,0,,8.95,,https://app.inventora.com/products/o3gmu9f4Q6J2XmFUXpDHHh/details
Morning Sips,139,,pieces,,USD,61673118038645,,,1970-01-01,,0,,6,,https://app.inventora.com/products/aeHEzX1byLrhKopQHHymdi/details
Mini Gemstone Orgone Pyramid by Tiny Rituals - Green Aventurine,0,,pieces,,USD,carro-66857641,,,1970-01-01,,0,,14.95,,https://app.inventora.com/products/9d9eQxB1gyMywN773UYmcD/details
Mini Gemstone Orgone Pyramid by Tiny Rituals - Lapis Lazuli,0,,pieces,,USD,carro-66857642,,,1970-01-01,,0,,14.95,,https://app.inventora.com/products/w6udq9UaMQr1KJUhoB7vty/details
Mini Gemstone Orgone Pyramid by Tiny Rituals - Black Tourmaline,0,,pieces,,USD,carro-66857643,,,1970-01-01,,0,,14.95,,https://app.inventora.com/products/9jnT56UyWnbj3vpK9Jp6u1/details
Mini Gemstone Orgone Pyramid by Tiny Rituals - Carnelian,0,,pieces,,USD,carro-66857644,,,1970-01-01,,0,,14.95,,https://app.inventora.com/products/gBSFvsgUFWomcLwvzsULoQ/details
Myrrh Artisan Soap by Soapyfluffs – Luxurious Fragrance with Vanilla & Musk,11,,pieces,,USD,61673111498741,,,1970-01-01,,0,,6,,https://app.inventora.com/products/gfM5Uc5u71h59bYq2gDApf/details
Oat Milk & Honey - Artisan Soap – Creamy & Nutty | Soapy Fluffs,39,,pieces,,USD,61673114163637,,,1970-01-01,,0,,6,,https://app.inventora.com/products/bevcfkxvLygFyqPpW5dV2T/details
Orange Soda,21,,pieces,,USD,61673110343189,,,1970-01-01,,0,,6,,https://app.inventora.com/products/vS6yB9zYLAt7LnPPwGWMNT/details
Orange Soda Pop- Ultra-Hydrating Triple Butter Body Cream,0,,pieces,,USD,61673118553717,,,1970-01-01,,0,,8,,https://app.inventora.com/products/fbbnxWTRHKuwEVTnyGoGm3/details
Peach Keen Artisan Soap by Soapyfluffs – Lush Peach & Floral Fragrance,6,,pieces,,USD,61673111572949,,,1970-01-01,,0,,6,,https://app.inventora.com/products/qNdDkZNCYpGKMYZqrBnG6H/details
Pickup In store,99997,,pieces,,USD,61673117075253,,,1970-01-01,,0,,0,,https://app.inventora.com/products/fpi2wmxxEaLK9vU5etcF5C/details
Pineapple Whip,0,,pieces,,USD,61673119929909,,,1970-01-01,,0,,8.95,,https://app.inventora.com/products/unReXNuZeNRMrHF3WNazqk/details
Pineapple- Whipped Soap,0,,pieces,,USD,61673113440949,,,1970-01-01,,0,,6,,https://app.inventora.com/products/b377nXkdWCeaF89gRPMHMX/details
Pirate’s Rum Scented Soy Candle - A Journey into Spiced Rum & Ocean Breeze,2,,pieces,,USD,61673116294229,,,1970-01-01,,0,,8,,https://app.inventora.com/products/3XiSxaGazJEvAcCVkTqYH6/details
Pumpkin Caramel Crunch Cake Whipped Sugar Scrub – Exfoliating & Moisturizing | SoapyFluffs,1,,pieces,,USD,61673112092949,,,1970-01-01,,0,,4,,https://app.inventora.com/products/oFdewkzXJD1v9WTb6V2dKH/details
Pumpkin Crunch Cake,0,,pieces,,USD,61673116639189,,,1970-01-01,,0,,6,,https://app.inventora.com/products/pPcuZSEsQ5dVtV1JJEz1sv/details
Rainbow Fluorite Worry Stone by Tiny Rituals,0,,pieces,,USD,carro-66857636,,,1970-01-01,,0,,38,,https://app.inventora.com/products/9M7Gfkr8uXYWwcKny82xuC/details
Rainbow Suds,0,,pieces,,USD,61673118226517,,,1970-01-01,,0,,8,,https://app.inventora.com/products/hkCuGsQThysqEUdzJeNxnL/details
Raspberry Mojitos – Refreshing Artisan Soap | Soapy Fluffs,18,,pieces,,USD,61673112998325,,,1970-01-01,,0,,6,,https://app.inventora.com/products/8AzzZJeJxRtuhtrqx3Z9bJ/details
Rocket Pop,0,,pieces,,USD,61673113613461,,,1970-01-01,,0,,6,,https://app.inventora.com/products/nHkP2Z7nEWE4FmoYeheMis/details
